,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
15,130.54326191,371.32741229,130.81818182,25.0,63.75,150.0,56.330584973,408.11774103,200.0,15.0,150.0,75.0,63.75,95.0,183.36281799,80.0,80.0,230.0,400.0
16,178.53981634,371.32741229,167.68937455,25.0,63.75,150.0,63.75,408.11774103,200.0,35.810173338,150.0,75.0,63.75,95.0,70.265482457,80.0,80.0,230.0,400.0
17,191.62978573,245.66370614,250.0,25.0,63.75,261.37960824,63.75,184.58134067,200.0,40.0,150.0,75.0,63.75,95.0,208.49555922,80.0,80.0,230.0,400.0
18,213.44640138,120.0,194.59552153,25.0,63.75,165.03442105,63.75,444.36688703,200.0,40.0,150.0,75.0,63.75,95.0,204.30676901,80.0,80.0,230.0,400.0
19,204.71975512,308.49555922,250.0,25.0,63.75,300.0,63.75,184.58134067,269.76455479,40.0,150.0,75.0,63.75,95.0,24.188790205,80.0,80.0,230.0,400.0
20,248.35298642,430.80514363,100.0,25.0,50.0,150.0,50.0,269.16268135,200.0,15.0,150.0,75.0,63.75,95.0,195.9291886,80.0,80.0,230.0,400.0
21,265.80627894,434.15926536,101.98927091,25.0,50.0,150.0,50.0,263.12115701,200.0,15.0,150.0,75.0,63.75,95.0,179.17402778,80.0,80.0,230.0,400.0
22,222.17304764,308.49555922,116.36363636,25.0,58.073253845,150.0,50.0,414.15926536,200.0,15.0,150.0,75.0,63.75,95.0,174.98523758,80.0,80.0,230.0,400.0
23,156.72320069,434.15926536,161.88117918,25.0,63.75,150.0,63.75,414.15926536,200.0,32.260718797,150.0,75.0,63.75,95.0,32.566370614,80.0,80.0,230.0,400.0
24,182.90313947,182.83185307,184.81769976,25.0,63.75,158.31216858,63.75,420.20078969,200.0,40.0,150.0,75.0,63.75,95.0,212.68434942,80.0,80.0,230.0,400.0
25,195.99310886,434.15926536,154.70634709,25.0,63.75,150.0,63.75,269.16268135,200.0,27.876100998,150.0,75.0,63.75,95.0,149.85249635,80.0,80.0,230.0,400.0
26,248.35298642,308.49555922,148.85648493,25.0,63.75,150.0,63.75,347.70249769,200.0,24.301185195,150.0,75.0,63.75,95.0,154.04128655,80.0,80.0,230.0,400.0
27,187.2664626,245.66370614,228.0581429,25.0,63.75,188.03991379,63.75,468.53298436,200.0,40.0,150.0,75.0,63.75,95.0,24.188790205,80.0,80.0,230.0,400.0
28,143.6332313,434.15926536,250.0,25.0,63.75,274.0131069,63.75,190.62286501,200.0,40.0,150.0,75.0,63.75,95.0,49.321531434,80.0,80.0,230.0,400.0
29,100.0,245.66370614,250.0,25.0,63.75,259.72825825,63.75,365.82707069,200.0,40.0,150.0,75.0,63.75,95.0,120.53096491,80.0,80.0,230.0,400.0
30,204.71975512,308.49555922,250.0,25.0,63.75,300.0,63.75,166.45676767,216.67969431,40.0,150.0,75.0,63.75,95.0,95.398223686,80.0,80.0,230.0,400.0
31,270.16960207,308.49555922,130.81818182,25.0,63.75,150.0,56.223180096,335.61944902,200.0,15.0,150.0,75.0,63.75,95.0,179.17402778,80.0,80.0,230.0,400.0
32,191.62978573,308.49555922,250.0,25.0,63.75,253.08258149,63.75,238.95505968,200.0,40.0,150.0,75.0,63.75,95.0,99.587013891,80.0,80.0,230.0,400.0
33,204.71975512,245.66370614,156.93963204,25.0,63.75,150.0,63.75,420.20078969,200.0,29.240879425,150.0,75.0,63.75,95.0,174.98523758,80.0,80.0,230.0,400.0
34,134.90658504,434.15926536,233.45221926,25.0,63.75,191.74840076,63.75,172.49829201,200.0,40.0,150.0,75.0,63.75,95.0,174.98523758,80.0,80.0,230.0,400.0
35,126.17993878,371.32741229,250.0,25.0,63.75,274.30847031,63.75,232.91353534,200.0,40.0,150.0,75.0,63.75,95.0,87.020643277,80.0,80.0,230.0,400.0
36,300.0,308.49555922,109.52234458,25.0,50.0,150.0,50.0,468.53298436,200.0,15.0,150.0,75.0,63.75,95.0,57.699111843,80.0,80.0,230.0,400.0
37,126.17993878,245.66370614,250.0,25.0,63.75,300.0,63.75,160.41524334,267.75071334,40.0,150.0,75.0,63.75,95.0,191.7403984,80.0,80.0,230.0,400.0
38,195.99310886,182.83185307,223.45958775,25.0,63.75,184.87846658,63.75,492.6990817,200.0,40.0,150.0,75.0,63.75,95.0,61.887902048,80.0,80.0,230.0,400.0
39,126.17993878,130.47706266,250.0,25.0,63.75,300.0,63.75,456.4499357,200.0,40.0,150.0,75.0,63.75,95.0,78.643062867,80.0,80.0,230.0,400.0
40,182.90313947,182.83185307,250.0,25.0,63.75,251.41780589,63.75,450.40841136,200.0,40.0,150.0,75.0,63.75,95.0,24.188790205,80.0,80.0,230.0,400.0
41,226.53637077,308.49555922,250.0,25.0,63.75,300.0,63.75,118.124573,201.30737128,40.0,150.0,75.0,63.75,95.0,137.28612573,80.0,80.0,230.0,400.0
42,156.72320069,434.15926536,154.2313587,25.0,63.75,150.0,63.75,263.12115701,200.0,27.585829634,150.0,75.0,63.75,95.0,195.9291886,80.0,80.0,230.0,400.0
43,104.36332313,308.49555922,208.44677271,25.0,63.75,174.55715624,63.75,396.03469236,200.0,40.0,150.0,75.0,63.75,95.0,149.85249635,80.0,80.0,230.0,400.0
44,235.26301703,245.66370614,250.0,25.0,63.75,300.0,63.75,148.33219467,216.82737601,40.0,150.0,75.0,63.75,95.0,145.66370614,80.0,80.0,230.0,400.0
45,248.35298642,434.15926536,250.0,25.0,63.75,259.03012655,63.75,130.20762167,200.0,40.0,150.0,75.0,63.75,95.0,20.0,80.0,80.0,230.0,400.0
46,143.6332313,308.49555922,130.81818115,25.0,63.75,150.0,54.518128342,480.61603303,200.0,15.0,150.0,75.0,63.75,95.0,162.41886696,80.0,80.0,230.0,400.0
47,209.08307825,371.32741229,238.94975578,25.0,63.75,195.52796049,63.75,269.16268135,200.0,40.0,150.0,75.0,63.75,95.0,57.699111843,80.0,80.0,230.0,400.0
48,248.35298642,430.40237534,100.0,25.0,50.0,150.0,50.0,311.45335168,200.0,15.0,150.0,75.0,63.75,95.0,154.04128655,80.0,80.0,230.0,400.0
49,270.16960207,245.66370614,188.14327299,25.0,63.75,160.59850018,63.75,281.24573001,200.0,40.0,150.0,75.0,63.75,95.0,195.9291886,80.0,80.0,230.0,400.0
